Augmentation,Augmentation Type,Model,Corruption,Severity,Model Accuracy,Class Accuracy
rsmix_test,noise,ptv1,uniform,3,0.8480551053484603,0.7891337209302326
rsmix_test,noise,ptv1,uniform,4,0.8225283630470016,0.7569709302325581
rsmix_test,noise,ptv1,uniform,5,0.7816045380875203,0.7109941860465117
rsmix_test,noise,ptv1,upsampling,1,0.8549432739059968,0.7867558139534884
rsmix_test,noise,ptv1,upsampling,2,0.8557536466774717,0.7975930232558139
rsmix_test,noise,ptv1,upsampling,3,0.8391410048622366,0.7791802325581395
rsmix_test,noise,ptv1,upsampling,4,0.8095623987034035,0.7474709302325582
rsmix_test,noise,ptv1,upsampling,5,0.752836304700162,0.6858372093023256
test,noise,ptv1,background,1,0.06969205834683954,0.07536627906976744
test,noise,ptv1,background,2,0.06320907617504051,0.06036627906976744
test,noise,ptv1,background,3,0.06604538087520259,0.07011627906976745
test,noise,ptv1,background,4,0.05915721231766612,0.056947674418604655
test,noise,ptv1,background,5,0.053079416531604535,0.04723837209302326
test,density,ptv1,cutout,1,0.8456239870340356,0.7999127906976744
test,density,ptv1,cutout,2,0.8225283630470016,0.7831337209302325
test,density,ptv1,cutout,3,0.7775526742301458,0.7358604651162791
test,density,ptv1,cutout,4,0.7224473257698542,0.6670348837209301
test,density,ptv1,cutout,5,0.6183144246353323,0.5641046511627907
test,density,ptv1,density,1,0.8415721231766613,0.7965872093023256
test,density,ptv1,density,2,0.7880875202593193,0.7525697674418604
test,density,ptv1,density,3,0.7200162074554295,0.6664651162790698
test,density,ptv1,density,4,0.6397893030794165,0.5868081395348836
test,density,ptv1,density,5,0.5445705024311183,0.4864476744186046
test,density,ptv1,density_inc,1,0.8217179902755267,0.7816453488372093
test,density,ptv1,density_inc,2,0.8128038897893031,0.7718197674418604
test,density,ptv1,density_inc,3,0.81645056726094,0.7730174418604652
test,density,ptv1,density_inc,4,0.796191247974068,0.7560232558139535
test,density,ptv1,density_inc,5,0.7694489465153971,0.725953488372093
test,transform,ptv1,distortion,1,0.7192058346839546,0.6794476744186047
test,transform,ptv1,distortion,2,0.7192058346839546,0.6689302325581395
test,transform,ptv1,distortion,3,0.7046191247974068,0.6595290697674419
test,transform,ptv1,distortion,4,0.6657212317666127,0.6274593023255814
test,transform,ptv1,distortion,5,0.6227714748784441,0.5955872093023256
test,transform,ptv1,distortion_rbf,1,0.7224473257698542,0.6814883720930233
test,transform,ptv1,distortion_rbf,2,0.7143435980551054,0.6701511627906978
test,transform,ptv1,distortion_rbf,3,0.6944894651539708,0.6570813953488372
test,transform,ptv1,distortion_rbf,4,0.6944894651539708,0.6514883720930233
test,transform,ptv1,distortion_rbf,5,0.6499189627228525,0.6095174418604652
test,transform,ptv1,distortion_rbf_inv,1,0.7046191247974068,0.6629534883720931
test,transform,ptv1,distortion_rbf_inv,2,0.710291734197731,0.67175
test,transform,ptv1,distortion_rbf_inv,3,0.703808752025932,0.649656976744186
test,transform,ptv1,distortion_rbf_inv,4,0.68354943273906,0.6397093023255814
test,transform,ptv1,distortion_rbf_inv,5,0.6730145867098866,0.6323313953488372
test,noise,ptv1,gaussian,1,0.8715559157212318,0.8330232558139535
test,noise,ptv1,gaussian,2,0.8561588330632091,0.8144941860465117
test,noise,ptv1,gaussian,3,0.8273905996758509,0.7752848837209303
test,noise,ptv1,gaussian,4,0.7876823338735819,0.7342558139534884
test,noise,ptv1,gaussian,5,0.7313614262560778,0.6509244186046512
test,noise,ptv1,impulse,1,0.5834683954619124,0.5215
test,noise,ptv1,impulse,2,0.5583468395461912,0.49147093023255817
test,noise,ptv1,impulse,3,0.5413290113452188,0.4563837209302326
test,noise,ptv1,impulse,4,0.4991896272285251,0.4048139534883721
test,noise,ptv1,impulse,5,0.4343598055105348,0.35049418604651167
test,density,ptv1,lidar,1,0.18760129659643435,0.16897674418604652
test,density,ptv1,lidar,2,0.20745542949756887,0.18996511627906976
test,density,ptv1,lidar,3,0.17625607779578606,0.1645639534883721
test,density,ptv1,lidar,4,0.1559967585089141,0.14686627906976746
test,density,ptv1,lidar,5,0.15559157212317667,0.14528488372093024
test,density,ptv1,occlusion,1,0.2613452188006483,0.2887674418604651
test,density,ptv1,occlusion,2,0.3087520259319287,0.32304069767441856
test,density,ptv1,occlusion,3,0.2884927066450567,0.31855232558139535
